Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Out Board Sensor Temperature(Deg C),160,0.044962544,0.09790847366529973,1.0,OBS_R
In Board Sensor Temperature(Deg C),160,0.1900972,0.4139473669471908,1.0,OBS_R
Search Coil Magnetometer's Temperature(Deg C),160,0.12365753,0.2692712409582743,1.0,OBS_R
Solar Array's Angle(Deg C),160,0.004204236,0.009154960842266956,1.0,OBS_R
Electronic Box Temperature(DegC),180,0.066158585,0.14943580137710474,0.9999999999999999,OBS_R
Solar Wind Analyser temperature(DegC),180,0.023102583,0.05218299340117502,0.9999999999999999,OBS_R
Out Board Sensor Temperature(Deg C),180,0.09662773,0.21825802755304552,0.9999999999999999,OBS_R
In Board Sensor Temperature(Deg C),180,0.13338557,0.3012848528288793,0.9999999999999999,OBS_R
Search Coil Magnetometer's Temperature(Deg C),180,0.10977252,0.24794884133909845,0.9999999999999999,OBS_R
Solar Array's Angle(Deg C),180,0.013675468,0.030889483500696875,0.9999999999999999,OBS_R
Electronic Box Temperature(DegC),20,0.06900748,0.11521387953838991,1.0,OBS_T
Solar Wind Analyser temperature(DegC),20,0.014333462,0.02393093856254553,1.0,OBS_T
Out Board Sensor Temperature(Deg C),20,0.39567226,0.6606086195340345,1.0,OBS_T
In Board Sensor Temperature(Deg C),20,0.07034277,0.11744326019696223,1.0,OBS_T
Search Coil Magnetometer's Temperature(Deg C),20,0.029059423,0.04851718771613044,1.0,OBS_T
Solar Array's Angle(Deg C),20,0.020535706,0.03428611445193754,1.0,OBS_T
Electronic Box Temperature(DegC),40,0.062616535,0.11397447848915246,1.0,OBS_T
Solar Wind Analyser temperature(DegC),40,0.029993,0.054593192250659506,1.0,OBS_T
Out Board Sensor Temperature(Deg C),40,0.35597035,0.6479364436063265,1.0,OBS_T
In Board Sensor Temperature(Deg C),40,0.07129718,0.1297749693151694,1.0,OBS_T
Search Coil Magnetometer's Temperature(Deg C),40,0.02558182,0.046563972172899225,1.0,OBS_T
Solar Array's Angle(Deg C),40,0.0039319596,0.0071569441657928935,1.0,OBS_T
Electronic Box Temperature(DegC),60,0.07725611,0.15332303190684868,1.0000000000000002,OBS_T
Solar Wind Analyser temperature(DegC),60,0.024744542,0.04910819613602545,1.0000000000000002,OBS_T
Out Board Sensor Temperature(Deg C),60,0.22589156,0.44830601568429757,1.0000000000000002,OBS_T
In Board Sensor Temperature(Deg C),60,0.12671912,0.2514876775308488,1.0000000000000002,OBS_T
Search Coil Magnetometer's Temperature(Deg C),60,0.04233589,0.0840201119791669,1.0000000000000002,OBS_T
Solar Array's Angle(Deg C),60,0.0069308258,0.013754966762812805,1.0000000000000002,OBS_T
Electronic Box Temperature(DegC),80,0.080066614,0.24495400261013242,0.9999999999999999,OBS_T
Solar Wind Analyser temperature(DegC),80,0.04355122,0.13323962541433876,0.9999999999999999,OBS_T
Out Board Sensor Temperature(Deg C),80,0.050721787,0.15517709722542508,0.9999999999999999,OBS_T
In Board Sensor Temperature(Deg C),80,0.0805136,0.24632150155058585,0.9999999999999999,OBS_T
Search Coil Magnetometer's Temperature(Deg C),80,0.06301527,0.1927875033164035,0.9999999999999999,OBS_T
Solar Array's Angle(Deg C),80,0.008995382,0.027520269883114304,0.9999999999999999,OBS_T
Electronic Box Temperature(DegC),100,0.079328865,0.21659623643351097,0.9999999999999999,OBS_T
Solar Wind Analyser temperature(DegC),100,0.03366579,0.09191967401223917,0.9999999999999999,OBS_T
